wl,tra_0,dia_0,bri_0,tra_5,dia_5,bri_5,tra_30,dia_30,bri_30
400,8.404983,4.662404,8.538094,8.360941,4.668404,8.530969,7.218463,4.98328,8.605124
405,8.05054,4.749584,8.458391,8.008683,4.754084,8.452741,6.95139,5.025001,8.580961
410,7.723583,4.824562,8.390323,7.684027,4.827638,8.386281,6.7135,5.058897,8.566317
415,7.42291,4.887849,8.323911,7.385734,4.889601,8.321498,6.502559,5.085844,8.549657
420,7.148124,4.940553,8.267979,7.113376,4.941102,8.267122,6.317284,5.107229,8.540779
425,6.899911,4.984599,8.218173,6.86761,4.984083,8.218809,6.157523,5.125233,8.534469
430,6.676083,5.020542,8.177128,6.646227,5.019101,8.179167,6.020479,5.140191,8.533828
435,6.475633,5.049568,8.144751,6.448196,5.047344,8.148099,5.904607,5.153126,8.538708
440,6.298666,5.073622,8.122941,6.273604,5.07076,8.12753,5.809464,5.165855,8.550981
445,6.142958,5.093183,8.107907,6.120213,5.089818,8.113568,5.732542,5.178429,8.56674
450,6.007017,5.109068,8.099544,5.986519,5.105329,8.106184,5.672106,5.191289,8.586044
455,5.889567,5.122146,8.101869,5.871238,5.118153,8.109371,5.626692,5.204932,8.613344
460,5.789333,5.133186,8.10837,5.773087,5.12905,8.116644,5.594898,5.219744,8.641832
465,5.706732,5.14431,8.14223,5.692471,5.140135,8.15117,5.576833,5.237547,8.69636
470,5.63877,5.154712,8.178592,5.626398,5.150588,8.188112,5.569698,5.257038,8.750518
475,5.584251,5.164868,8.215746,5.57367,5.160874,8.225774,5.572315,5.278334,8.802564
480,5.542024,5.175169,8.2557,5.533136,5.171376,8.266159,5.583586,5.301488,8.854855
485,5.510994,5.185934,8.271798,5.503701,5.182401,8.282678,5.602495,5.326502,8.879337
490,5.490125,5.19741,8.288294,5.48433,5.194188,8.299526,5.628104,5.353334,8.902139
495,5.47844,5.209787,8.301615,5.474046,5.206918,8.313129,5.659552,5.381909,8.919646
500,5.475022,5.223201,8.313268,5.471938,5.22072,8.325006,5.696051,5.412125,8.933791
505,5.480266,5.239266,8.343418,5.478394,5.237199,8.355267,5.73787,5.445302,8.96564
510,5.492033,5.256509,8.373261,5.491284,5.254876,8.385172,5.783274,5.479823,8.995648
515,5.509585,5.274939,8.407014,5.509877,5.273754,8.418929,5.831674,5.515536,9.02846
520,5.532242,5.29454,8.439143,5.533496,5.293813,8.451022,5.882542,5.552282,9.058389
525,5.559381,5.315275,8.460988,5.56152,5.315008,8.472823,5.9354,5.589904,9.076609
530,5.590427,5.337088,8.479846,5.593379,5.337283,8.491606,5.989821,5.628246,9.090919
535,5.624856,5.359913,8.493199,5.628554,5.360566,8.504869,6.045424,5.667158,9.098841
540,5.662191,5.383674,8.505319,5.666569,5.384779,8.516874,6.10187,5.706494,9.104795
545,5.701995,5.408287,8.508296,5.706993,5.409836,8.519738,6.158856,5.746116,9.100917
550,5.744301,5.434377,8.509948,5.749858,5.436355,8.521256,6.216424,5.786505,9.095142
555,5.788397,5.461315,8.508485,5.794459,5.46371,8.519633,6.274078,5.827064,9.085821
560,5.833836,5.488806,8.503766,5.840353,5.491603,8.514741,6.331523,5.867504,9.072955
565,5.88033,5.516759,8.49498,5.887255,5.519944,8.505735,6.388582,5.907724,9.055691
570,5.927619,5.545088,8.482293,5.934909,5.548643,8.49282,6.445102,5.947631,9.034407
575,5.975471,5.573706,8.475824,5.983086,5.577615,8.486085,6.50095,5.987142,9.01929
580,6.023679,5.602534,8.467478,6.03158,5.606781,8.477468,6.556013,6.026182,9.002187
585,6.07232,5.632036,8.48787,6.08047,5.6366,8.497494,6.610371,6.065118,9.013778
590,6.12094,5.661573,8.505752,6.129307,5.666436,8.515004,6.663744,6.10343,9.022697
595,6.169396,5.691077,8.515866,6.17795,5.696224,8.524755,6.716067,6.141071,9.023723
600,6.217562,5.720489,8.522846,6.226275,5.725901,8.531369,6.767287,6.177999,9.021586
605,6.265327,5.749752,8.482438,6.274174,5.755413,8.490743,6.817362,6.21418,8.972432
610,6.312597,5.778815,8.441189,6.321553,5.784709,8.449278,6.866258,6.249586,8.922641
615,6.359286,5.807632,8.395604,6.368331,5.813743,8.403502,6.913951,6.284196,8.868821
620,6.405324,5.836163,8.348733,6.414438,5.842475,8.356445,6.960423,6.317992,8.813985
625,6.450782,5.864715,8.327974,6.459945,5.871212,8.335435,7.005746,6.351216,8.785033
630,6.49546,5.89289,8.305014,6.504654,5.899556,8.31223,7.049821,6.383585,8.754076
635,6.539314,5.920658,8.285959,6.548525,5.927481,8.29291,7.092651,6.415097,8.727082
640,6.582311,5.947998,8.266544,6.591525,5.954964,8.273234,7.134241,6.445752,8.699872
645,6.624422,5.974888,8.250247,6.633626,5.981985,8.256648,7.174599,6.475555,8.67582
650,6.665626,6.001313,8.233113,6.674809,6.008528,8.23923,7.213738,6.504512,8.651078
655,6.705905,6.027258,8.208933,6.715056,6.034581,8.214785,7.251674,6.532632,8.619645
660,6.745249,6.052713,8.183543,6.754358,6.060133,8.189136,7.288424,6.559926,8.587204
665,6.783705,6.077855,8.128666,6.792764,6.085359,8.134079,7.324041,6.58653,8.526472
670,6.821208,6.102478,8.072906,6.830207,6.110057,8.078147,7.358508,6.612324,8.465196
675,6.857755,6.12658,8.02047,6.866689,6.134225,8.025542,7.391847,6.637324,8.407421
680,6.893351,6.15016,7.968634,6.902213,6.157862,7.973545,7.424084,6.661545,8.350526
685,6.928001,6.173217,7.938841,6.936786,6.18097,7.943522,7.455243,6.685008,8.314958
690,6.961712,6.195756,7.90871,6.970415,6.20355,7.913169,7.485348,6.70773,8.279258
695,6.994495,6.217778,7.920284,7.00311,6.225607,7.924386,7.514427,6.729731,8.283397
700,7.02636,6.239289,7.930466,7.034885,6.247146,7.934214,7.542504,6.751031,8.286215
