nm,n,k,n2,k2
381.203583,2.047941,0.02517,2.036143,0.011164
382.375854,2.045972,0.024868,2.034028,0.010913
383.555359,2.044009,0.024569,2.031921,0.010668
384.742188,2.042052,0.024273,2.029823,0.010428
385.936371,2.040102,0.023981,2.027732,0.010194
387.138,2.038157,0.023693,2.025649,0.009964
388.347107,2.036217,0.023409,2.023574,0.009739
389.563812,2.034284,0.023128,2.021507,0.009519
390.788177,2.032356,0.02285,2.019446,0.009304
392.020233,2.030433,0.022577,2.017394,0.009093
393.260071,2.028516,0.022306,2.015348,0.008887
394.507813,2.026604,0.022039,2.013309,0.008686
395.763489,2.024697,0.021776,2.011278,0.008489
397.027161,2.022795,0.021516,2.009253,0.008296
398.298981,2.020897,0.02126,2.007235,0.008108
399.578918,2.019005,0.021007,2.005223,0.007923
400.867126,2.017117,0.020757,2.003218,0.007743
402.163696,2.015233,0.020511,2.001219,0.007567
403.468658,2.013354,0.020268,1.999226,0.007395
404.782135,2.011478,0.020028,1.997239,0.007226
406.104156,2.009607,0.019792,1.995258,0.007062
407.434875,2.00774,0.019559,1.993283,0.006901
408.774323,2.005877,0.019329,1.991313,0.006744
410.12262,2.004017,0.019102,1.989349,0.006591
411.479828,2.002161,0.018879,1.98739,0.006441
412.846039,2.000308,0.018659,1.985436,0.006294
414.221375,1.998459,0.018442,1.983487,0.006151
415.605896,1.996612,0.018228,1.981543,0.006012
416.999695,1.994769,0.018017,1.979604,0.005875
418.402893,1.992929,0.017809,1.97767,0.005742
419.815521,1.991092,0.017605,1.975739,0.005612
421.237732,1.989257,0.017403,1.973814,0.005485
422.669617,1.987425,0.017205,1.971892,0.005361
424.111328,1.985595,0.017009,1.969974,0.00524
425.562836,1.983767,0.016817,1.968061,0.005122
427.024353,1.981942,0.016627,1.966151,0.005007
428.495941,1.980119,0.016441,1.964244,0.004895
429.977722,1.978297,0.016257,1.962341,0.004785
431.469788,1.976477,0.016076,1.960442,0.004679
432.972229,1.974659,0.015899,1.958545,0.004574
434.485168,1.972842,0.015724,1.956651,0.004473
436.008698,1.971027,0.015552,1.95476,0.004374
437.542969,1.969213,0.015383,1.952872,0.004277
439.088043,1.9674,0.015216,1.950987,0.004183
440.644104,1.965587,0.015053,1.949103,0.004091
442.211243,1.963776,0.014892,1.947222,0.004002
443.789551,1.961965,0.014734,1.945343,0.003915
445.37915,1.960154,0.014579,1.943466,0.00383
446.980225,1.958344,0.014427,1.94159,0.003748
448.592834,1.956534,0.014277,1.939716,0.003668
450.217102,1.954724,0.01413,1.937843,0.003589
451.85318,1.952914,0.013986,1.935972,0.003513
453.501129,1.951104,0.013845,1.934101,0.003439
455.161224,1.949293,0.013706,1.932232,0.003367
456.833496,1.947481,0.01357,1.930363,0.003297
458.518127,1.945669,0.013436,1.928494,0.003229
460.215179,1.943856,0.013305,1.926626,0.003163
461.924896,1.942041,0.013177,1.924758,0.003098
463.647308,1.940226,0.013052,1.92289,0.003036
465.38266,1.938408,0.012928,1.921021,0.002975
467.131042,1.93659,0.012808,1.919152,0.002916
468.892578,1.934769,0.01269,1.917283,0.002858
470.66748,1.932947,0.012575,1.915413,0.002803
472.455872,1.931122,0.012462,1.913541,0.002749
474.257904,1.929295,0.012352,1.911669,0.002696
476.07373,1.927465,0.012244,1.909795,0.002645
477.903503,1.925633,0.012139,1.90792,0.002596
479.747406,1.923798,0.012036,1.906042,0.002549
481.605621,1.92196,0.011936,1.904163,0.002502
483.47821,1.920118,0.011839,1.902281,0.002457
485.36554,1.918273,0.011744,1.900397,0.002414
487.267517,1.916425,0.011651,1.898511,0.002372
489.18457,1.914572,0.011561,1.896621,0.002332
491.116699,1.912716,0.011473,1.894729,0.002293
493.064148,1.910855,0.011388,1.892833,0.002255
495.027161,1.908989,0.011305,1.890933,0.002218
497.005859,1.907119,0.011225,1.88903,0.002183
499.000397,1.905244,0.011147,1.887123,0.002149
501.011047,1.903363,0.011072,1.885211,0.002116
503.037933,1.901478,0.010999,1.883295,0.002085
505.081299,1.899586,0.010928,1.881374,0.002054
507.141357,1.897689,0.01086,1.879448,0.002025
509.218262,1.895786,0.010794,1.877517,0.001997
511.312256,1.893876,0.010731,1.875581,0.00197
513.423523,1.891959,0.01067,1.873639,0.001944
515.552368,1.890036,0.010612,1.87169,0.00192
517.698853,1.888106,0.010556,1.869735,0.001896
519.863342,1.886168,0.010503,1.867774,0.001873
522.046021,1.884222,0.010452,1.865806,0.001852
524.247009,1.882269,0.010403,1.863831,0.001831
526.466736,1.880307,0.010357,1.861848,0.001812
528.705322,1.878337,0.010313,1.859858,0.001793
530.963013,1.876358,0.010272,1.857859,0.001776
533.240051,1.87437,0.010233,1.855852,0.001759
535.536621,1.872372,0.010197,1.853837,0.001744
537.853149,1.870365,0.010164,1.851812,0.001729
540.189819,1.868347,0.010132,1.849778,0.001715
542.546875,1.86632,0.010104,1.847735,0.001702
544.924622,1.864281,0.010077,1.845681,0.00169
547.323242,1.862232,0.010054,1.843617,0.001679
549.743103,1.860171,0.010033,1.841543,0.001669
552.184448,1.858099,0.010014,1.839457,0.00166
554.647583,1.856014,0.009998,1.83736,0.001651
557.132751,1.853917,0.009985,1.835252,0.001644
559.64032,1.851808,0.009974,1.833131,0.001637
562.170593,1.849685,0.009966,1.830997,0.001631
564.723816,1.847548,0.00996,1.828851,0.001626
567.300354,1.845398,0.009957,1.826691,0.001622
569.900513,1.843233,0.009957,1.824517,0.001618
572.524536,1.841053,0.009959,1.82233,0.001615
575.172974,1.838858,0.009965,1.820127,0.001614
577.845947,1.836647,0.009973,1.81791,0.001612
580.543823,1.83442,0.009983,1.815677,0.001612
583.267151,1.832177,0.009997,1.813427,0.001613
586.016052,1.829917,0.010013,1.811162,0.001614
588.790894,1.827639,0.010033,1.808879,0.001616
591.592285,1.825343,0.010055,1.806579,0.001619
594.420471,1.823028,0.01008,1.804261,0.001622
597.275757,1.820695,0.010108,1.801925,0.001627
600.15863,1.818341,0.01014,1.799569,0.001632
603.069458,1.815968,0.010174,1.797194,0.001638
606.008667,1.813574,0.010211,1.794799,0.001645
608.976685,1.811159,0.010252,1.792383,0.001652
611.973938,1.808722,0.010295,1.789946,0.00166
615.000793,1.806262,0.010342,1.787486,0.00167
618.057739,1.80378,0.010393,1.785005,0.001679
621.145264,1.801273,0.010446,1.7825,0.00169
624.263794,1.798743,0.010503,1.779971,0.001701
627.413757,1.796187,0.010564,1.777417,0.001714
630.595703,1.793606,0.010628,1.774839,0.001727
633.810059,1.790998,0.010695,1.772234,0.001741
637.057312,1.788363,0.010767,1.769603,0.001755
640.338074,1.7857,0.010842,1.766945,0.001771
643.652771,1.783009,0.01092,1.764258,0.001787
647.002014,1.780288,0.011003,1.761542,0.001804
650.386292,1.777537,0.01109,1.758797,0.001822
653.806091,1.774755,0.01118,1.756021,0.001841
657.262085,1.771941,0.011275,1.753213,0.001861
660.754822,1.769094,0.011374,1.750373,0.001882
664.284851,1.766213,0.011477,1.7475,0.001903
667.852844,1.763298,0.011585,1.744593,0.001926
671.45929,1.760347,0.011697,1.741651,0.001949
675.104919,1.757359,0.011814,1.738672,0.001974
678.790405,1.754334,0.011935,1.735656,0.001999
682.516357,1.75127,0.012061,1.732602,0.002025
686.283386,1.748167,0.012193,1.729509,0.002053
690.092285,1.745022,0.012329,1.726375,0.002081
693.943665,1.741836,0.012471,1.7232,0.00211
697.838257,1.738606,0.012618,1.719982,0.002141
701.776855,1.735332,0.01277,1.716719,0.002173
705.760132,1.732012,0.012928,1.713412,0.002205
709.78894,1.728644,0.013092,1.710058,0.002239
713.863892,1.725229,0.013262,1.706656,0.002274
717.985962,1.721764,0.013438,1.703204,0.002311
722.155884,1.718247,0.01362,1.699702,0.002348
726.374634,1.714678,0.013809,1.696147,0.002387
730.642883,1.711054,0.014004,1.692539,0.002427
734.961548,1.707375,0.014207,1.688875,0.002469
739.331665,1.703638,0.014416,1.685154,0.002512
743.754028,1.699842,0.014633,1.681374,0.002556
748.229614,1.695984,0.014858,1.677534,0.002602
752.759399,1.692064,0.01509,1.673631,0.002649
757.344299,1.68808,0.01533,1.669664,0.002698
761.985474,1.684028,0.015579,1.66563,0.002748
766.683838,1.679908,0.015837,1.661528,0.002801
771.440552,1.675716,0.016103,1.657356,0.002855
776.256592,1.671452,0.016379,1.653111,0.00291
781.133179,1.667113,0.016664,1.648791,0.002968
786.071411,1.662695,0.016959,1.644393,0.003027
791.07251,1.658198,0.017264,1.639916,0.003089
796.137573,1.653617,0.01758,1.635356,0.003152
801.268005,1.648952,0.017908,1.630712,0.003218
806.464966,1.644198,0.018246,1.625979,0.003286
811.729736,1.639353,0.018597,1.621156,0.003356
817.063721,1.634414,0.01896,1.616239,0.003429
822.468262,1.629379,0.019336,1.611226,0.003504
827.944824,1.624242,0.019725,1.606112,0.003581
833.494751,1.619002,0.020128,1.600895,0.003662
839.119629,1.613655,0.020546,1.59557,0.003745
844.820923,1.608197,0.020979,1.590136,0.003831
850.600281,1.602624,0.021428,1.584586,0.00392
856.459167,1.596933,0.021893,1.578918,0.004012
862.399292,1.591118,0.022376,1.573127,0.004108
868.422485,1.585177,0.022876,1.567209,0.004207
874.530396,1.579103,0.023396,1.561159,0.00431
880.724792,1.572893,0.023935,1.554973,0.004416
887.007629,1.566542,0.024494,1.548645,0.004527
893.380676,1.560043,0.025075,1.54217,0.004641
